"Sample,Name",Group,Th,Al,K,Ca,Sc,Ti,Mn,Fe,Ni,Cu,Zn,Ga,Ge,Se,Br,Rb,Sr,Y,Mo,Pd,I,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ta,Mg
S1_R1 MB1,mb,0.00252,19.21459,185.26892,192.77724,0.29402,1.91954,1.73549,95.21649,1.08787,3.65286,6.04549,0.30684,0.10356,4.67848,10.01562,0.81700,2.24949,0.02182,0.27177,0.00132,0.50402,1.09195,0.00748,0.03235,0.00191,0.00851,0.02061,0.00450,0.01598,0.00231,0.00569,0.00141,0.00871,0.00183,0.00556,0.00246,0.00572,60.90375
S1_R1 MB2,mb,0.01243,27.11873,123.72014,161.58023,0.24542,0.28402,2.10855,57.28090,0.95651,5.55414,5.52623,0.26204,0.12091,3.72811,9.37451,0.28362,1.64006,0.02025,0.20083,0.00744,1.03998,1.10631,0.00546,0.03093,0.00259,0.01353,0.01005,0.00149,0.00556,0.00285,0.01010,0.00292,0.00483,0.00210,0.00704,0.00222,0.00441,46.68312
S1_R2 MB1,mb,0.01989,22.99173,102.96820,88.30792,0.24095,1.03982,4.80166,46.56174,0.91163,4.77373,5.94093,0.14660,0.09983,4.15987,9.08255,0.19963,0.37912,0.02985,0.24830,0.01096,1.17009,0.88857,0.00538,0.02770,0.00192,0.01722,0.00779,0.00149,0.00523,0.00304,0.00825,0.00186,0.00535,0.00173,0.00787,0.00167,0.00095,36.53544
S1_R2 MB2,mb,0.01411,33.82363,122.41848,211.79959,0.24177,2.32874,1.71825,49.00729,0.87435,4.50373,6.54268,0.40025,0.19072,4.73918,11.36367,0.36441,0.87341,0.02039,0.35031,0.00920,0.87981,0.54295,0.00840,0.03673,0.00262,0.01752,0.01236,0.00493,0.01087,0.00176,0.00735,0.00175,0.00590,0.00128,0.01103,0.00303,0.00201,30.64520
S1_R3 MB1,mb,0.01101,35.78644,139.18099,157.08705,0.33525,5.01643,3.06947,55.88516,0.70298,3.67356,6.00031,0.64261,0.14636,2.23858,9.90561,0.33828,2.67801,0.02602,0.22156,0.01679,1.20625,1.48008,0.01041,0.04473,0.00511,0.00680,0.01814,0.00302,0.00793,0.00100,0.00748,0.00348,0.00805,0.00101,0.00902,0.00136,0.00359,79.77854
S1_R3 MB2,mb,0.00820,20.82135,128.08504,58.51040,0.21870,0.94606,1.29115,54.26059,0.63364,1.68240,2.81606,0.21818,0.15527,5.69011,8.58573,0.08476,0.44707,0.01262,0.21493,0.00906,0.72173,0.57525,0.00477,0.03128,0.00183,0.00454,0.01582,0.00379,0.01233,0.00160,0.00622,0.00161,0.00524,0.00249,0.00843,0.00268,0.00163,25.97557
S1_R4 MB1,mb,0.00378,21.76230,91.43711,48.61847,0.20977,1.54485,1.11557,59.74127,1.00784,1.97122,8.79058,0.14335,0.10192,4.25329,7.57619,0.34026,0.92793,0.02516,0.17277,0.00627,0.53979,1.43894,0.00925,0.02908,0.00516,0.01327,0.01330,0.00612,0.01943,0.00507,0.01239,0.00435,0.00491,0.00361,0.01189,0.00404,0.00513,15.53323
S1_R4 MB2,mb,0.00522,18.35023,134.67499,57.27359,0.26620,1.55508,1.20828,46.70729,1.28112,2.73620,3.76192,0.91885,0.09758,4.96429,10.30166,0.69572,1.65373,0.02370,0.11173,0.01211,0.51810,1.66071,0.00545,0.02659,0.00241,0.01345,0.01496,0.00224,0.01320,0.00127,0.00771,0.00255,0.00531,0.00144,0.00898,0.00121,0.00030,22.58700
S1_R5 MB1,mb,0.00916,16.34482,177.44794,96.71905,0.32373,1.45717,1.31203,54.87861,1.37393,1.89041,5.21655,0.55014,0.15123,1.89413,11.30877,0.09970,1.12241,0.01625,0.20485,0.02070,0.66372,1.21471,0.00743,0.02765,0.00271,0.01294,0.01123,0.00466,0.00717,0.00225,0.00532,0.00508,0.00536,0.00277,0.00861,0.00217,0.00297,26.69797
S1_R5 MB2,mb,0.01921,13.95571,145.99222,120.05636,0.37484,1.37664,1.26721,50.46527,0.85518,1.26036,3.47328,0.07437,0.14942,2.19848,7.72599,0.32717,1.27024,0.01500,0.20806,0.02850,0.59324,0.66254,0.00574,0.02555,0.00229,0.01858,0.01341,0.00437,0.01032,0.00137,0.01031,0.00217,0.00651,0.00259,0.00703,0.00207,0.00368,59.72503
