Sample.Name,Group,Mg,Al,K,Ca,Sc,Ti,Mn,Fe,Ni,Cu,Zn,Ga,Ge,Se,Br,Rb,Sr,Y,Mo,Pd,I,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ta,Th
S3_R1 MB1,mb,67.62437,23.96154,173.57177,121.76410,0.26489,1.53878,1.70144,111.77341,1.05559,3.77997,7.09689,0.26770,0.15716,4.86593,10.70614,0.43739,1.52381,0.01908,0.21237,0.00590,0.48881,1.08757,0.00508,0.03224,0.00303,0.01104,0.02400,0.00458,0.01581,0.00205,0.00631,0.00286,0.00875,0.00163,0.00734,0.00282,0.00666,0.01222
S3_R1 MB2,mb,48.20807,23.81980,130.22302,179.90632,0.24781,0.79713,2.00818,68.39111,0.88336,3.63240,4.55907,0.39732,0.13173,4.05287,9.81328,0.21033,1.60491,0.01703,0.20897,0.00845,0.71754,1.17742,0.00614,0.02989,0.00247,0.01419,0.00808,0.00222,0.01236,0.00241,0.01091,0.00165,0.00531,0.00248,0.00618,0.00216,0.00396,0.01224
S3_R2 MB1,mb,14.84923,22.53634,91.15588,52.44678,0.26795,2.11879,5.07930,47.88193,0.93296,3.61757,7.24002,0.32789,0.08978,4.15239,9.46886,0.51107,0.63934,0.02545,0.22372,0.01695,0.97290,0.64177,0.00686,0.02320,0.00233,0.01157,0.00802,0.00150,0.01110,0.00327,0.00896,0.00137,0.00557,0.00191,0.00722,0.00286,0.00047,0.02865
S3_R2 MB2,mb,22.66087,42.37005,113.32160,176.50869,0.27350,0.84064,1.27135,47.56705,0.88731,5.21313,5.71048,0.16560,0.23146,4.16484,10.77075,0.33734,0.72051,0.02106,0.34744,0.00881,0.81027,0.74988,0.00835,0.03404,0.00294,0.01881,0.01578,0.00400,0.00989,0.00253,0.00371,0.00205,0.00430,0.00211,0.01066,0.00409,0.00322,0.00957
S3_R3 MB1,mb,76.98366,26.84186,141.12090,214.02058,0.28989,5.53208,1.73456,57.20406,0.90034,2.58163,7.83072,0.17158,0.09619,2.30726,9.99295,0.27278,2.32343,0.01902,0.26982,0.01605,1.25705,1.58886,0.01166,0.04596,0.00524,0.00596,0.01328,0.00354,0.01265,0.00205,0.00633,0.00171,0.00688,0.00166,0.00712,0.00243,0.00334,0.01608
S3_R3 MB2,mb,21.59442,23.93871,100.04547,108.17978,0.20049,0.91791,2.05394,44.63385,0.85335,1.62711,6.81171,0.12941,0.13908,6.41083,9.41495,0.08513,1.45071,0.01174,0.14540,0.00861,0.77186,0.82666,0.00447,0.02895,0.00172,0.00386,0.01686,0.00320,0.01514,0.00323,0.00558,0.00151,0.00338,0.00172,0.00729,0.00215,0.00124,0.00294
S3_R4 MB1,mb,15.71800,25.90425,95.14031,42.74571,0.20457,0.86487,1.08029,36.74634,1.26096,2.01163,7.54370,0.13005,0.13501,4.16691,6.45611,0.31391,0.40243,0.02563,0.17961,0.00633,0.68374,1.11362,0.00798,0.02734,0.00462,0.01218,0.01477,0.00536,0.01737,0.00457,0.01241,0.00597,0.00553,0.00421,0.01078,0.00345,0.00492,0.00540
S3_R4 MB2,mb,48.18631,18.39458,109.31382,68.71108,0.29351,2.00720,1.44196,39.77414,1.13421,3.35964,4.59047,0.89289,0.06176,3.56214,10.92152,0.94980,1.80025,0.02432,0.15176,0.01044,0.78309,1.76369,0.00358,0.02553,0.00365,0.01122,0.01042,0.00349,0.01605,0.00189,0.00726,0.00263,0.00517,0.00128,0.00715,0.00123,0.00050,0.01746
S3_R5 MB1,mb,36.06736,24.85513,157.48128,140.55300,0.31648,2.10753,1.56149,54.98005,0.94523,3.97087,6.71055,0.28058,0.11154,2.26591,8.98637,0.33227,0.93456,0.01758,0.12734,0.01011,0.99471,1.09962,0.00839,0.02728,0.00378,0.01184,0.00815,0.00425,0.00753,0.00267,0.00530,0.00513,0.00747,0.00225,0.00891,0.00229,0.00347,0.01508
S3_R5 MB2,mb,47.70953,20.37856,188.68642,139.18113,0.34881,1.29640,2.42638,57.39430,0.55480,1.59231,3.27639,0.19763,0.17284,1.44752,7.94592,0.23530,1.17233,0.01979,0.21504,0.02906,0.77803,0.82512,0.00750,0.02779,0.00257,0.01632,0.01602,0.00481,0.01258,0.00174,0.01237,0.00215,0.00653,0.00393,0.00726,0.00317,0.00412,0.01503
S3_R1 H2 PMC,pm,31403.62812,39.96013,35472.99939,38689.38003,0.69728,10.38246,1035.34837,383.37608,3.71194,57.27296,401.17373,2.51059,0.55648,7.45802,52.16684,159.06432,395.54081,0.06136,12.62542,0.11667,10.26142,81.57728,0.11278,0.16425,0.02324,0.06203,0.03179,0.01069,0.03320,0.00523,0.03604,0.00867,0.02369,0.00627,0.03619,0.00830,0.00060,0.01929
S3_R1 H3 BHBC/M/1,bhb,44066.00006,46.69324,28395.28469,73083.96582,0.60968,5.25574,321.78583,474.73481,2.72752,35.96541,1061.30066,15.41088,0.42483,7.89748,42.04281,38.18045,795.75069,0.04909,1.01029,0.26443,17.53116,533.28873,0.10676,0.19444,0.01225,0.06524,0.05172,0.05685,0.03229,0.00484,0.02152,0.00535,0.01343,0.00576,0.01733,0.00260,0.01043,0.06097
S3_R5 H3 BHBC/M/2,bhb,44590.33590,65.90645,26756.33062,74351.57897,0.65902,5.88946,281.82858,513.07252,3.30461,37.31813,1319.13505,14.69300,0.44335,2.94845,53.12580,37.87590,786.95686,0.08016,1.52695,0.16647,17.68674,541.78030,0.13745,0.11502,0.02129,0.05935,0.03311,0.04877,0.03245,0.00672,0.01240,0.00661,0.01911,0.00637,0.02220,0.01211,0.00889,0.00485
S3_R1 H3 PMC/M/1,pm,37175.44295,26.33264,40520.75193,50528.34231,0.70290,8.96432,519.31339,490.91996,3.32852,54.78983,319.35571,3.96346,0.52865,6.36508,33.38846,122.03865,578.11960,0.12188,11.10496,0.16770,26.84473,132.02715,0.11507,0.13720,0.02120,0.06392,0.05910,0.01550,0.02421,0.00462,0.02823,0.00693,0.01428,0.00529,0.03590,0.00778,0.00235,0.04584
S3_R5 H3 PMC/M/2,pm,33380.35598,30.96871,30712.84127,53196.91975,0.74469,12.72988,646.23141,424.51605,2.02342,65.14239,369.10259,3.22367,0.45922,7.93409,40.02332,131.36377,502.99328,0.06948,11.51734,0.11635,19.30955,102.71116,0.11788,0.31135,0.01901,0.07105,0.07727,0.01740,0.04114,0.01334,0.02558,0.01361,0.02085,0.00915,0.02157,0.00899,0.01401,0.02228
S3_R1 H4 BHB2/M,bhb,47631.86068,58.80507,28651.29761,73980.24283,0.87237,6.13841,236.06954,538.22439,2.67112,49.85042,1475.76677,13.31933,1.06974,8.83250,37.78137,39.69612,752.63755,0.09530,1.31934,0.26801,16.47426,503.57257,0.09557,0.10615,0.01718,0.07330,0.05568,0.03667,0.05121,0.00760,0.02984,0.00883,0.03266,0.00606,0.02351,0.00919,0.01813,0.02872
S3_R1 H4 BHB5/M,bhb,34421.02153,60.75188,32901.29995,66756.26023,0.74961,5.06159,375.73100,469.21974,2.30563,55.51636,1215.57916,10.79347,0.66457,5.91234,35.34119,36.50360,743.13753,0.09168,1.12121,0.24200,13.84125,492.26672,0.15054,0.10858,0.01892,0.06600,0.05637,0.06621,0.04898,0.00692,0.02239,0.00910,0.02832,0.00834,0.06424,0.01123,0.00140,0.03077
S3_R1 H4 PM2/M,pm,28051.74075,24.78314,35589.30957,35616.16155,0.78712,10.88359,409.31803,334.03298,2.43109,72.54805,411.70657,2.68975,0.79498,11.60641,24.90545,148.56634,362.55240,0.08625,11.08619,0.16323,12.00819,87.02860,0.07152,0.17027,0.02041,0.08006,0.05944,0.01522,0.06637,0.00739,0.04378,0.01030,0.01710,0.00605,0.03683,0.00974,0.00526,0.05556
