SampleName,Group,Mg,Al,K,Ca,Sc,Ti,Mn,Fe,Ni,Cu,Zn,Ga,Ge,Se,Br,Rb,Sr,Y,Mo,Pd,I,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ta,Th
S2_R1 MB1,mb,44.00000,18.00000,150.00000,100.00000,0.23000,0.80000,1.10000,83.00000,0.99000,2.40000,5.80000,0.13000,0.09800,3.80000,9.60000,0.37000,0.88000,0.01500,0.17000,0.00000,0.42000,0.82000,0.00490,0.02700,0.00180,0.00770,0.01800,0.00430,0.01400,0.00150,0.00530,0.00110,0.00780,0.00160,0.00540,0.00200,0.00330,0.00220
S2_R1 MB2,mb,41.00000,22.00000,120.00000,160.00000,0.24000,0.25000,0.89000,44.00000,0.77000,3.00000,4.20000,0.09600,0.08700,3.30000,9.30000,0.16000,1.60000,0.01700,0.16000,0.00490,0.55000,0.67000,0.00490,0.02700,0.00240,0.01100,0.00480,0.00140,0.00510,0.00160,0.00910,0.00130,0.00450,0.00160,0.00560,0.00180,0.00210,0.00860
S2_R2 MB1,mb,9.70000,19.00000,90.00000,44.00000,0.24000,0.23000,4.00000,41.00000,0.88000,3.00000,4.90000,0.07100,0.05800,3.00000,8.90000,0.15000,0.16000,0.02500,0.14000,0.00990,0.80000,0.37000,0.00390,0.02300,0.00120,0.00880,0.00750,0.00120,0.00510,0.00170,0.00650,0.00100,0.00400,0.00160,0.00600,0.00160,0.00000,0.01700
S2_R2 MB2,mb,19.00000,32.00000,110.00000,120.00000,0.24000,0.77000,0.80000,45.00000,0.81000,3.70000,5.20000,0.08300,0.19000,4.00000,10.00000,0.10000,0.62000,0.01800,0.34000,0.00510,0.70000,0.48000,0.00670,0.03000,0.00240,0.01600,0.01000,0.00330,0.00960,0.00090,0.00340,0.00130,0.00300,0.00120,0.01000,0.00260,0.00110,0.00440
S2_R3 MB1,mb,71.00000,26.00000,130.00000,150.00000,0.28000,4.30000,1.60000,53.00000,0.58000,2.00000,5.70000,0.11000,0.05900,1.90000,9.70000,0.15000,1.90000,0.01800,0.22000,0.01500,1.20000,1.40000,0.01000,0.03900,0.00380,0.00570,0.01200,0.00270,0.00730,0.00070,0.00590,0.00150,0.00680,0.00090,0.00700,0.00120,0.00210,0.00880
S2_R3 MB2,mb,4.00000,8.60000,98.00000,31.00000,0.20000,0.35000,0.36000,37.00000,0.55000,1.10000,2.80000,0.07000,0.08800,4.70000,8.50000,0.04000,0.10000,0.01100,0.07200,0.00500,0.50000,0.55000,0.00440,0.02400,0.00100,0.00280,0.01100,0.00240,0.00830,0.00140,0.00400,0.00120,0.00320,0.00170,0.00700,0.00170,0.00000,0.00210
S2_R4 MB1,mb,6.40000,11.00000,85.00000,28.00000,0.19000,0.49000,0.52000,35.00000,0.89000,1.40000,6.40000,0.13000,0.08900,3.80000,6.40000,0.25000,0.25000,0.02300,0.15000,0.00500,0.50000,0.60000,0.00660,0.02300,0.00440,0.01100,0.01300,0.00490,0.01300,0.00410,0.00970,0.00360,0.00460,0.00340,0.01000,0.00340,0.00440,0.00000
S2_R4 MB2,mb,14.00000,13.00000,95.00000,45.00000,0.25000,0.87000,1.00000,39.00000,1.10000,1.90000,3.00000,0.77000,0.06000,2.80000,9.40000,0.67000,1.00000,0.02300,0.11000,0.01000,0.44000,1.40000,0.00340,0.02300,0.00180,0.01000,0.01000,0.00210,0.01300,0.00080,0.00600,0.00230,0.00330,0.00090,0.00670,0.00100,0.00000,0.00440
S2_R5 MB1,mb,25.00000,15.00000,130.00000,89.00000,0.26000,0.74000,0.83000,43.00000,0.89000,1.80000,5.00000,0.04600,0.10000,1.80000,8.90000,0.07300,0.65000,0.01300,0.12000,0.01000,0.64000,0.91000,0.00600,0.02700,0.00230,0.00930,0.00770,0.00380,0.00450,0.00170,0.00480,0.00370,0.00500,0.00170,0.00660,0.00160,0.00230,0.00230
S2_R5 MB2,mb,40.00000,12.00000,140.00000,100.00000,0.34000,0.66000,0.60000,46.00000,0.53000,1.00000,2.60000,0.04000,0.13000,1.40000,6.80000,0.11000,0.73000,0.01400,0.20000,0.01700,0.52000,0.60000,0.00530,0.02400,0.00200,0.01500,0.01300,0.00400,0.00800,0.00120,0.00690,0.00180,0.00480,0.00220,0.00670,0.00180,0.00250,0.01200
